Name,Address,Latitude,Longitude,BeerPrice,HappyHourPrice,HasHappyHour,HappyHourTimes,AvgRating,RatingsCount,OpeningHours,SpecialNotes,URL
Birka Bowling och Dart,"Birkagatan 16, 113 39 Stockholm, Sweden",59.340372,18.035117,79,,No,,0,0,Mon: 16:00 – 22:00 | Tue: 12:00 – 23:00 | Wed: 12:00 – 23:00 | Thu: 16:00 – 23:00 | Fri: 12:00 – 00:00 | Sat: 12:00 – 00:00 | Sun: 12:00 – 22:00,,https://www.google.com/maps/search/?api=1&query=Birka+Bowling+och+Dart+Birkagatan+16%2C+113+39+Stockholm%2C+Sweden
Pitcher's,"Regeringsgatan 113, 111 39 Stockholm, Sweden",59.34065379999999,18.0652901,79,,Yes,Mon 16:00–18:30; Tue 16:00–18:30; Wed 16:00–18:30; Thu 16:00–18:30; Fri 16:00–18:30,0,0,Mon: 16:00 – 23:00 | Tue: 16:00 – 00:00 | Wed: 16:00 – 00:00 | Thu: 16:00 – 00:00 | Fri: 15:00 – 01:00 | Sat: 13:00 – 01:00 | Sun: 14:00 – 23:00,Terrace · Happy Hour (Mon 16:00–18:30; Tue 16:00–18:30; Wed 16:00–18:30; Thu 16:00–18:30; Fri 16:00–18:30) · Pool Table,https://www.google.com/maps/search/?api=1&query=Pitcher%27s+Regeringsgatan+113%2C+111+39+Stockholm%2C+Sweden
Järnet Bar & Restaurant,"Österlånggatan 34, 111 31 Stockholm, Sweden",59.3229924,18.0734498,79,,Yes,Mon 16:00–19:00; Tue 16:00–19:00; Wed 16:00–19:00; Thu 16:00–19:00; Fri 16:00–19:00,0,0,Tue: 16:00 – 22:00 | Wed: 16:00 – 22:00 | Thu: 16:00 – 22:00 | Fri: 16:00 – 23:00 | Sat: 16:00 – 23:00,Happy Hour (Mon 16:00–19:00; Tue 16:00–19:00; Wed 16:00–19:00; Thu 16:00–19:00; Fri 16:00–19:00),https://www.google.com/maps/search/?api=1&query=J%C3%A4rnet+Bar+%26+Restaurant+%C3%96sterl%C3%A5nggatan+34%2C+111+31+Stockholm%2C+Sweden
The Sparrow Hotel,"Birger Jarlsgatan 24, 114 34 Stockholm, Sweden",59.33694500000001,18.071608,79,,No,,0,0,,,https://www.google.com/maps/search/?api=1&query=The+Sparrow+Hotel+Birger+Jarlsgatan+24%2C+114+34+Stockholm%2C+Sweden
Gabagool,"Humlegårdsgatan 3, 114 46 Stockholm, Sweden",59.33614619999999,18.0778703,79,,Yes,Mon 15:00–18:00; Tue 15:00–18:00; Wed 15:00–18:00; Thu 15:00–18:00; Fri 15:00–18:00,0,0,Mon: 11:00 – 23:00 | Tue: 11:00 – 23:00 | Wed: 11:00 – 23:00 | Thu: 11:00 – 23:00 | Fri: 11:00 – 23:00 | Sat: 11:00 – 23:00 | Sun: 12:00 – 20:00,Happy Hour (Mon 15:00–18:00; Tue 15:00–18:00; Wed 15:00–18:00; Thu 15:00–18:00; Fri 15:00–18:00),https://www.google.com/maps/search/?api=1&query=Gabagool+Humleg%C3%A5rdsgatan+3%2C+114+46+Stockholm%2C+Sweden
Boulebarstore Rålambshov,"Smedsuddsvägen 2, 112 35 Stockholm, Sweden",59.3285755,18.0271893,79,,No,,0,0,,Terrace · Pets OK,https://www.google.com/maps/search/?api=1&query=Boulebarstore+R%C3%A5lambshov+Smedsuddsv%C3%A4gen+2%2C+112+35+Stockholm%2C+Sweden
Bistrot du Passage,"Nybrogatan 31, 114 39 Stockholm, Sweden",59.3359577,18.0781753,79,,No,,0,0,Mon: 11:00 – 23:00 | Tue: 11:00 – 23:00 | Wed: 11:00 – 23:00 | Thu: 11:00 – 23:00 | Fri: 11:00 – 23:00 | Sat: 11:30 – 23:00,,https://www.google.com/maps/search/?api=1&query=Bistrot+du+Passage+Nybrogatan+31%2C+114+39+Stockholm%2C+Sweden
"The Bishops Arms, Odengatan (Stockholm)","Odengatan 41, 113 51 Stockholm, Sweden",59.34453999999999,18.0582994,79,,No,,0,0,Mon: 16:00 – 22:00 | Tue: 16:00 – 23:00 | Wed: 16:00 – 23:00 | Thu: 16:00 – 00:00 | Fri: 15:00 – 01:00 | Sat: 15:00 – 01:00 | Sun: 15:00 – 21:00,,https://www.google.com/maps/search/?api=1&query=The+Bishops+Arms%2C+Odengatan+%28Stockholm%29+Odengatan+41%2C+113+51+Stockholm%2C+Sweden
SPAGO,"Götgatan 24, 118 46 Stockholm, Sweden",59.3185023,18.0707972,89,,No,,0,0,Mon: 17:00 – 22:00 | Tue: 17:00 – 22:00 | Wed: 17:00 – 23:00 | Thu: 17:00 – 23:00 | Fri: 17:00 – 23:30 | Sat: 12:00 – 23:30 | Sun: 17:00 – 22:00,,https://www.google.com/maps/search/?api=1&query=SPAGO+G%C3%B6tgatan+24%2C+118+46+Stockholm%2C+Sweden
MBQ,"Vasagatan 8, 111 20 Stockholm, Sweden",59.32940000000001,18.0607001,79,,No,,0,0,Mon: 10:30 – 21:00 | Tue: 10:30 – 21:00 | Wed: 10:30 – 22:00 | Thu: 10:30 – 22:00 | Fri: 10:30 – 22:00 | Sat: 12:00 – 22:00 | Sun: 12:00 – 21:00,,https://www.google.com/maps/search/?api=1&query=MBQ+Vasagatan+8%2C+111+20+Stockholm%2C+Sweden
IL Forno Da G AB,"Fridhemsgatan 41, 112 46 Stockholm, Sweden",59.33486120000001,18.0307868,79,,No,,0,0,Mon: 10:00 – 22:00 | Tue: 10:00 – 22:00 | Wed: 10:00 – 22:00 | Thu: 10:00 – 22:00 | Fri: 10:00 – 23:00 | Sat: 12:00 – 23:00 | Sun: 12:00 – 22:00,Terrace,https://www.google.com/maps/search/?api=1&query=IL+Forno+Da+G+AB+Fridhemsgatan+41%2C+112+46+Stockholm%2C+Sweden
Lucky Bowl Svea,"Sveavägen 118, 113 50 Stockholm, Sweden",59.34470080000001,18.0553537,79,,No,,0,0,Mon: 16:00 – 22:00 | Tue: 16:00 – 22:00 | Wed: 16:00 – 22:00 | Thu: 16:00 – 22:00 | Fri: 16:00 – 00:00 | Sat: 12:00 – 00:00 | Sun: 12:00 – 22:00,,https://www.google.com/maps/search/?api=1&query=Lucky+Bowl+Svea+Sveav%C3%A4gen+118%2C+113+50+Stockholm%2C+Sweden
